test accuracy,numEpoch,ensemble,hidden nodes,alpha decay,momentum,max Epoch,early stop limit,alpha,
0.585661571,25,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099760575
0.583201546,15,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099720782
0.601651731,1,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099720782
0.587067299,4,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099880144
0.561939905,2,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099950025
0.580214374,3,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099880144
0.582850114,6,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099651221
0.586540151,3,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099840256
0.580214374,4,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099730727
0.586891583,28,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099730727
0.562994201,1,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099730727
0.592338781,8,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099930049
0.569495695,1,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099930049
0.601827447,4,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099970009
0.590054472,19,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099820323
0.583728694,4,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099970009
0.605517484,1,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099970009
0.598488842,1,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099970009
0.576700053,4,1,12,1.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099970009
0.580741522,1,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099970009
0.593041645,10,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099820323
0.607098928,1,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099820323
0.592690213,13,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099760575
0.55684414,7,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099880144
0.575821473,5,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099920064
0.597961694,7,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099880144
0.570198559,19,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099641291
0.574942892,7,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099880144
0.589878756,10,1,12,2.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099820323
0.59813741,32,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099078569
0.600948867,8,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09979044
0.586013003,1,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09979044
0.578457213,1,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09979044
0.596204533,1,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09979044
0.579862941,1,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09979044
0.598488842,1,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09979044
0.578281497,1,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09979044
0.56439993,1,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09979044
0.583728694,1,1,12,3.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09979044
0.58970304,17,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09936407
0.585661571,9,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099681021
0.57547004,1,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099681021
0.582850114,8,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099720782
0.577754349,1,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099720782
0.58214725,1,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099720782
0.581620102,5,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099840256
0.577754349,1,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099840256
0.576524337,4,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099880144
0.588473028,2,1,12,4.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099960016
0.570198559,14,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099354198
0.575645756,3,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.0999001
0.571604287,18,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099157164
0.580214374,19,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099108028
0.571428571,21,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099009901
0.594798805,10,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099552016
0.589878756,36,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098280098
0.570022843,20,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09905894
0.586364435,15,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099304866
0.571252855,1,1,12,5.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099304866
0.560182745,21,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098814229
0.572131436,7,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099641291
0.590933052,10,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.0994629
0.575118608,27,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098463962
0.569671411,32,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098173964
0.590230188,1,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098173964
0.568968547,6,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099700897
0.57195572,12,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099344327
0.563697066,1,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099344327
0.580214374,37,1,12,6.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09788567
0.577227201,27,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098212532
0.558952732,32,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.097876089
0.583377262,5,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099720782
0.585837287,1,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099720782
0.556141276,86,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.094384143
0.576172905,126,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.091954023
0.56527851,29,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098077678
0.58039009,165,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.089702189
0.573537164,102,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.093396843
0.572482868,6,1,12,7.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099651221
0.593217361,1,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099651221
0.573010016,49,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.096302003
0.572307152,35,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.097352025
0.586715867,177,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.087657784
0.579511509,1,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.087657784
0.588297312,257,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.083001328
0.555438412,63,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09527439
0.587770163,241,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.083892617
0.576875769,37,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.097200622
0.574064312,1,1,12,8.00E-04,0.01,1000,0.58, weightdecay 0.0,0.097200622
0.578281497,52,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.095611435
0.585485855,63,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.094714908
0.588121596,3,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099820323
0.582850114,23,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098058443
0.570901423,47,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.096024582
0.566859954,23,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098058443
0.586364435,51,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.09569378
0.588121596,6,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.099552016
0.564927078,55,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.095365249
0.588121596,14,1,12,9.00E-04,0.01,1000,0.58, weightdecay 0.0,0.098843531
