test accuracy,numEpoch,ensemble,hidden nodes,alpha decay,momentum,max Epoch,early stop limit,weight decay,drop out,alpha
0.535055351,1,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,2,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,3,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,4,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,5,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,6,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,7,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,8,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,9,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,10,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,11,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,12,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,13,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,14,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544719733,15,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.54840977,16,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.546125461,17,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,18,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.546828325,19,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.550518362,20,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.549464066,21,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.556668424,22,1,12,0,0.01,1000,0.59, weightdecay 0.0,1,0.01
0.544895449,1,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.544895449,2,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.555086979,3,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.554384115,4,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.570022843,5,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.575645756,6,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.578457213,7,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.586364435,8,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.583552978,9,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.598664558,10,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.599367422,11,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.588473028,12,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.591811632,13,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.604111755,14,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.606044632,15,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.603057459,16,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.595501669,17,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.601651731,18,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.595325953,19,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.609207521,20,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.607626076,21,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
0.610788965,22,1,12,0,0.01,1000,0.59, weightdecay 0.0,0,0.01
